Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
75,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,150,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366792750747524,366792750764014,366792769974203,366792770052847
76,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,152,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366792770008317,366792770022048,366792836535153,366792836582992
77,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,154,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366792836548963,366792836565278,366792926638805,366792926763064
78,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,156,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366792926689554,366792926712565,366792981468582,366792981528971
79,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,158,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366792981481101,366792981498175,366793028683174,366793028745833
80,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,160,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366793028693563,366793028705094,366793047756084,366793047830488
81,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,162,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366793047783859,366793047798855,366793134703588,366793134769718
82,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,164,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366793134716978,366793134732192,366793223427802,366793223501271
83,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,166,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366793223445922,366793223463962,366793284560602,366793284620853
84,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,168,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366793284573304,366793284588778,366793338528639,366793338592718
85,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,170,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366793338541198,366793338556319,366793357587148,366793357666453
86,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,172,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366793357618793,366793357634087,366793449723938,366793449843877
87,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,174,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366793449773897,366793449800995,366793532795981,366793532861200
88,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,176,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366793532809370,366793532824301,366793579537459,366793579580846
89,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,178,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366793579553587,366793579568726,366793630826514,366793630888803
90,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,180,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366793630840554,366793630854194,366793649879104,366793649958969
91,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,182,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366793649914449,366793649936903,366793714952508,366793715032907
92,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,184,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366793714955517,366793714971566,366793800621108,366793800706137
93,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,186,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366793800635918,366793800660628,366793860956313,366793861032646
94,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,188,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366793860967127,366793860985719,366793921380765,366793921454924
95,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,190,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366793921396135,366793921411965,366793940622794,366793940700498
96,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,192,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366793940653599,366793940670184,366794030178436,366794030251375
97,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,194,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366794030199225,366794030216870,366794098410457,366794098478316
98,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,196,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366794098421176,366794098438297,366794150456723,366794150517746
99,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,198,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366794150469417,366794150484475,366794210466719,366794210500168
100,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,200,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366794210479518,366794210494079,366794229524108,366794229602343
101,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,202,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366794229556654,366794229571185,366794296713414,366794296780863
102,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,204,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366794296727144,366794296743669,366794378029382,366794378103411
103,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,206,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366794378048691,366794378065862,366794432893081,366794432951097
104,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,208,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366794432905438,366794432920707,366794480680746,366794480744185
105,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,210,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366794480691765,366794480703306,366794499754456,366794499830760
106,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,212,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366794499784270,366794499799706,366794593668270,366794593746739
107,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,214,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366794593690040,366794593709256,366794671209540,366794671278150
108,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,216,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366794671225080,366794671239780,366794719349417,366794719404934
109,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,218,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366794719359234,366794719370637,366794771312426,366794771380215
